@relation 'cleaned_weather_data-weka.filters.unsupervised.attribute.NominalToBinary-R5,8,10'

@attribute Temperature numeric
@attribute Humidity numeric
@attribute 'Wind Speed' numeric
@attribute 'Precipitation (\%)' numeric
@attribute 'Cloud Cover=partly cloudy' numeric
@attribute 'Cloud Cover=clear' numeric
@attribute 'Cloud Cover=overcast' numeric
@attribute 'Cloud Cover=cloudy' numeric
@attribute 'Atmospheric Pressure' numeric
@attribute 'UV Index' numeric
@attribute Season=Winter numeric
@attribute Season=Spring numeric
@attribute Season=Summer numeric
@attribute Season=Autumn numeric
@attribute 'Visibility (km)' numeric
@attribute Location=inland numeric
@attribute Location=mountain numeric
@attribute Location=coastal numeric
@attribute 'Weather Type' {Rainy,Cloudy,Sunny,Snowy}

@data
27,36,6.5,8,0,1,0,0,1023.87,7,0,0,0,1,9,0,1,0,Sunny
30,34,8,15,0,1,0,0,1011.61,10,1,0,0,0,7,0,1,0,Sunny
25,21,1.5,19,1,0,0,0,1024.59,5,0,0,1,0,5.5,0,0,1,Sunny
33,71,9.5,29,1,0,0,0,1016.66,3,0,0,0,1,5.5,1,0,0,Cloudy
11,55,4,38,1,0,0,0,1015.12,1,0,0,1,0,7,1,0,0,Cloudy
33,48,1.5,6,0,1,0,0,1017.2,10,0,0,0,1,6,1,0,0,Sunny
-4,35,3,58,1,0,0,0,966.26,9,0,0,1,0,18,0,1,0,Cloudy
15,70,2.5,80,0,1,0,0,1020.81,2,0,0,1,0,8,0,1,0,Sunny
37,41,0.5,17,0,1,0,0,1027.52,7,0,1,0,0,7,1,0,0,Sunny
27,96,19.5,89,1,0,0,0,1014.54,5,0,1,0,0,3,1,0,0,Cloudy
25,74,9.5,47,1,0,0,0,1002.32,1,0,1,0,0,9,1,0,0,Cloudy
-8,61,15,83,0,0,0,1,991.55,8,0,1,0,0,19.5,0,0,1,Cloudy
20,57,3.5,26,1,0,0,0,1001.59,2,1,0,0,0,6,0,0,1,Cloudy
12,67,7.5,38,1,0,0,0,1017.41,1,0,1,0,0,8,0,1,0,Cloudy
39,48,8,16,0,1,0,0,1029.55,9,0,0,0,1,9.5,0,1,0,Sunny
45,49,2,79,1,0,0,0,810.56,3,0,0,1,0,0.5,0,0,1,Snowy
12,59,7,79,1,0,0,0,939.13,4,0,0,1,0,3,0,1,0,Sunny
37,68,2,8,1,0,0,0,1024.28,5,1,0,0,0,8.5,0,1,0,Sunny
25,23,0.5,1,0,1,0,0,1026.46,10,0,0,1,0,7,0,0,1,Sunny
34,70,5,92,1,0,0,0,1024.79,9,0,0,0,1,9,0,1,0,Sunny
39,34,3,14,0,1,0,0,1022.95,10,0,0,1,0,6,0,0,1,Sunny
33,65,10,48,1,0,0,0,1001.11,4,0,0,0,1,7,0,1,0,Cloudy
21,56,6.5,1,0,1,0,0,1021.27,7,0,0,1,0,9.5,1,0,0,Sunny
25,55,12.5,90,1,0,0,0,1066.72,3,0,0,0,1,2,1,0,0,Sunny
30,65,3.5,15,1,0,0,0,1001.44,3,0,0,0,1,9,1,0,0,Cloudy
41,43,8,0,0,1,0,0,1021.25,8,1,0,0,0,8.5,0,0,1,Sunny
