@relation 'cleaned_weather_data-weka.filters.unsupervised.attribute.NominalToBinary-R5,8,10'

@attribute Temperature numeric
@attribute Humidity numeric
@attribute 'Wind Speed' numeric
@attribute 'Precipitation (\%)' numeric
@attribute 'Cloud Cover=partly cloudy' numeric
@attribute 'Cloud Cover=clear' numeric
@attribute 'Cloud Cover=overcast' numeric
@attribute 'Cloud Cover=cloudy' numeric
@attribute 'Atmospheric Pressure' numeric
@attribute 'UV Index' numeric
@attribute Season=Winter numeric
@attribute Season=Spring numeric
@attribute Season=Summer numeric
@attribute Season=Autumn numeric
@attribute 'Visibility (km)' numeric
@attribute Location=inland numeric
@attribute Location=mountain numeric
@attribute Location=coastal numeric
@attribute 'Weather Type' {Rainy,Cloudy,Sunny,Snowy}

@data
-6,76,10.5,56,0,0,1,0,999.6,1,1,0,0,0,4.5,0,1,0,Snowy
-9,88,10,90,0,0,1,0,981.42,1,1,0,0,0,2,1,0,0,Snowy
-2,80,17.5,72,0,0,1,0,986.43,1,1,0,0,0,2,1,0,0,Snowy
4,78,16.5,90,0,0,1,0,986.07,0,1,0,0,0,4.5,0,1,0,Snowy
32,51,4,32,1,0,0,0,1016.81,3,1,0,0,0,7,1,0,0,Cloudy
-22,94,24.5,75,1,0,0,0,980.89,6,1,0,0,0,1.5,0,1,0,Snowy
-5,34,2,34,0,0,0,1,1061.53,11,1,0,0,0,17,0,0,1,Snowy
-8,71,10,91,0,0,1,0,998.32,0,1,0,0,0,1.5,0,1,0,Snowy
23,63,13.5,70,1,0,0,0,990.68,0,1,0,0,0,4.5,1,0,0,Rainy
3,92,11,60,0,0,1,0,981.37,1,1,0,0,0,4.5,0,1,0,Snowy
34,76,8,18,1,0,0,0,1003.47,1,1,0,0,0,8.5,0,1,0,Cloudy
17,39,1.5,40,1,0,0,0,1027.2,0,1,0,0,0,16.5,1,0,0,Cloudy
0,96,1.5,88,0,0,1,0,988.22,0,1,0,0,0,2.5,0,1,0,Snowy
-10,63,8,53,1,0,0,0,987.04,0,1,0,0,0,1.5,0,1,0,Snowy
15,63,6.5,29,0,0,1,0,1019.24,2,1,0,0,0,6,0,0,1,Cloudy
-8,69,19,98,1,0,0,0,992.39,1,1,0,0,0,2,1,0,0,Snowy
20,80,6,74,0,0,1,0,999.38,1,1,0,0,0,4.5,1,0,0,Rainy
-1,92,9.5,76,0,0,1,0,986.17,0,1,0,0,0,4,0,1,0,Snowy
-9,88,8.5,92,1,0,0,0,984.16,0,1,0,0,0,3.5,0,1,0,Snowy
1,98,2,81,0,0,1,0,980.59,0,1,0,0,0,2,1,0,0,Snowy
1,66,5.5,90,0,0,1,0,982.19,1,1,0,0,0,3,1,0,0,Snowy
-3,68,1,50,0,0,1,0,993.39,1,1,0,0,0,4,1,0,0,Snowy
11,53,9.5,31,1,0,0,0,1019.37,3,1,0,0,0,7.5,0,1,0,Cloudy
-5,97,15,53,1,0,0,0,995.66,1,1,0,0,0,4,0,1,0,Snowy
0,60,5,56,1,0,0,0,995.59,1,1,0,0,0,1.5,0,1,0,Snowy
-3,82,9,74,1,0,0,0,987.65,0,1,0,0,0,2.5,0,1,0,Snowy
2,99,12,76,0,0,1,0,984.42,0,1,0,0,0,3.5,0,1,0,Snowy
-10,87,19,71,0,0,1,0,998.9,1,1,0,0,0,5,1,0,0,Snowy
2,77,4.5,75,1,0,0,0,986.27,0,1,0,0,0,3.5,0,1,0,Snowy
33,56,14,37,1,0,0,0,1014.07,3,1,0,0,0,7.5,1,0,0,Cloudy
-13,82,5,109,1,0,0,0,987.16,14,1,0,0,0,1.5,1,0,0,Snowy
4,89,9.5,90,0,0,1,0,991.74,0,1,0,0,0,1.5,0,1,0,Snowy
28,57,3.5,45,0,0,1,0,1011.92,4,1,0,0,0,9,1,0,0,Cloudy
-9,71,9.5,83,0,0,1,0,996.4,1,1,0,0,0,3.5,1,0,0,Snowy
0,76,2,94,0,0,1,0,983.7,1,1,0,0,0,4,1,0,0,Snowy
-9,80,8,89,1,0,0,0,984.2,1,1,0,0,0,2.5,0,1,0,Snowy
-7,95,6,74,0,0,1,0,985.77,1,1,0,0,0,4,0,1,0,Snowy
11,59,10.5,14,1,0,0,0,1006.49,3,1,0,0,0,7.5,0,1,0,Cloudy
14,60,14.5,24,1,0,0,0,1004.75,3,1,0,0,0,7.5,1,0,0,Cloudy
33,74,6.5,27,0,0,1,0,1004.21,4,1,0,0,0,8.5,0,1,0,Cloudy
2,78,1,63,0,0,1,0,985.11,0,1,0,0,0,1,1,0,0,Snowy
-22,84,29.5,70,0,0,1,0,986.24,6,1,0,0,0,2.5,1,0,0,Snowy
-14,105,30.5,74,0,0,1,0,981.24,2,1,0,0,0,1.5,0,1,0,Snowy
20,78,13,71,0,0,1,0,994.21,0,1,0,0,0,4,0,1,0,Rainy
3,90,10,88,0,0,1,0,999.86,0,1,0,0,0,5,0,1,0,Snowy
3,75,5.5,36,0,0,1,0,1094.79,0,1,0,0,0,14,1,0,0,Snowy
2,85,16,59,0,0,1,0,988.47,1,1,0,0,0,2,1,0,0,Snowy
2,99,3.5,84,0,0,1,0,999.65,0,1,0,0,0,3.5,1,0,0,Snowy
-1,73,3.5,69,0,0,1,0,996.29,1,1,0,0,0,3,1,0,0,Snowy
-2,74,3,74,0,0,1,0,982.42,0,1,0,0,0,2.5,1,0,0,Snowy
14,73,18,95,1,0,0,0,1011.2,2,1,0,0,0,3.5,1,0,0,Rainy
-5,97,6,51,1,0,0,0,984.17,1,1,0,0,0,1.5,0,1,0,Snowy
1,91,13,80,1,0,0,0,990.88,1,1,0,0,0,3,1,0,0,Snowy
3,91,3,60,0,0,1,0,993.24,0,1,0,0,0,5,1,0,0,Snowy
-4,80,12,97,0,0,1,0,981.42,0,1,0,0,0,4.5,0,1,0,Snowy
3,64,3.5,87,0,0,1,0,986.96,1,1,0,0,0,2,1,0,0,Snowy
-7,69,18,53,0,0,1,0,992.92,1,1,0,0,0,3.5,1,0,0,Snowy
0,80,18,90,0,0,1,0,994.11,0,1,0,0,0,3.5,0,1,0,Snowy
-7,97,4.5,73,0,0,1,0,987.68,0,1,0,0,0,2,0,1,0,Snowy
-1,73,3,91,1,0,0,0,986.47,0,1,0,0,0,4,0,1,0,Snowy
24,98,14.5,98,0,0,1,0,1012.53,3,1,0,0,0,5,1,0,0,Rainy
-1,94,8.5,52,0,0,1,0,985.86,1,1,0,0,0,1,0,1,0,Snowy
27,33,7,83,0,0,0,1,1194.57,1,1,0,0,0,8,1,0,0,Rainy
-9,95,19,82,0,0,1,0,988.4,1,1,0,0,0,5,0,1,0,Snowy
-2,79,4,74,0,0,1,0,982.18,0,1,0,0,0,3,0,1,0,Snowy
30,73,17,91,1,0,0,0,1016.38,2,1,0,0,0,4.5,0,1,0,Rainy
17,76,11.5,86,1,0,0,0,997.64,0,1,0,0,0,3,1,0,0,Rainy
2,108,16.5,80,0,0,1,0,998.62,10,1,0,0,0,1.5,0,1,0,Snowy
-11,109,31.5,95,0,0,1,0,994.98,14,1,0,0,0,1,0,1,0,Snowy
-3,68,5,55,1,0,0,0,998.39,1,1,0,0,0,4,1,0,0,Snowy
-9,82,0,86,1,0,0,0,999.55,1,1,0,0,0,4.5,0,1,0,Snowy
27,56,4.5,24,1,0,0,0,1004.61,4,1,0,0,0,9,1,0,0,Cloudy
-5,61,0.5,60,0,0,1,0,993.96,1,1,0,0,0,4.5,0,1,0,Snowy
37,64,12,71,1,0,0,0,1197.04,1,1,0,0,0,1,0,1,0,Rainy
-8,108,7.5,105,1,0,0,0,989.19,0,1,0,0,0,0.5,0,1,0,Snowy
-8,61,16.5,58,0,0,1,0,986.3,0,1,0,0,0,2.5,1,0,0,Snowy
-3,74,1,53,0,0,1,0,992.39,0,1,0,0,0,5,0,1,0,Snowy
-6,109,27.5,100,0,0,1,0,996.27,5,1,0,0,0,2,0,1,0,Snowy
48,38,10,98,0,0,1,0,972.02,12,1,0,0,0,20,0,0,1,Snowy
-4,82,14,96,0,0,1,0,984.21,14,1,0,0,0,1,0,1,0,Snowy
28,60,0,30,0,0,1,0,1014.84,1,1,0,0,0,7.5,1,0,0,Cloudy
27,77,6.5,20,1,0,0,0,1009.04,1,1,0,0,0,7.5,0,1,0,Cloudy
4,99,8,72,0,0,1,0,994.81,0,1,0,0,0,3,0,1,0,Snowy
20,93,19,65,1,0,0,0,1013.42,1,1,0,0,0,2,1,0,0,Rainy
-1,78,19,69,0,0,1,0,986.34,0,1,0,0,0,4,1,0,0,Snowy
1,88,1,70,1,0,0,0,982.72,0,1,0,0,0,1.5,1,0,0,Snowy
